tone,tone_short,hue_tone,hue,munsell,r,g,b,rgb16
Vivid,v,v1,1,10RP 4/13.5,185,31,87,#b91f57
Vivid,v,v2,2,4R 4.5/14,208,47,72,#d02f48
Vivid,v,v3,3,7R 5/14,221,68,59,#dd443b
Vivid,v,v4,4,10R 5.5/14,233,91,35,#e95b23
Vivid,v,v5,5,4YR 6/13.5,230,120,0,#e67800
Vivid,v,v6,6,8YR 7/13,244,157,0,#f49d00
Vivid,v,v7,7,2Y 7.5/13,241,181,0,#f1b500
Vivid,v,v8,8,5Y 8/13,238,201,0,#eec900
Vivid,v,v9,9,8Y 7.5/12,210,193,0,#d2c100
Vivid,v,v10,10,3GY 7/12,168,187,0,#a8bb00
Vivid,v,v11,11,8GY 6/11.5,88,169,29,#58a91d
Vivid,v,v12,12,3G 5.5/11,0,161,90,#00a15a
Vivid,v,v13,13,9G 5/10.5,0,146,110,#00926e
Vivid,v,v14,14,5BG 4.5/10,0,133,127,#00857f
Vivid,v,v15,15,10BG 4/10,0,116,136,#007488
Vivid,v,v16,16,5B 4/10,0,112,155,#00709b
Vivid,v,v17,17,10B 3.5/10.5,0,96,156,#00609c
Vivid,v,v18,18,3PB 3.5/11.5,0,91,165,#005ba5
Vivid,v,v19,19,6PB 3.5/11.5,26,84,165,#1a54a5
Vivid,v,v20,20,9PB 3.5/11.5,83,74,160,#534aa0
Vivid,v,v21,21,3P 3.5/11.5,112,63,150,#703f96
Vivid,v,v22,22,7P 3.5/11.5,129,55,138,#81378a
Vivid,v,v23,23,1RP 3.5/11.5,143,46,124,#8f2e7c
Vivid,v,v24,24,6RP 4/12.5,173,46,108,#ad2e6c
Bright,b,b2,2,4R 6/12,239,108,112,#ef6c70
Bright,b,b4,4,10R 6.5/11.5,250,129,85,#fa8155
Bright,b,b6,6,8YR 7.5/11.5,255,173,54,#ffad36
Bright,b,b8,8,5Y 8.5/11,250,216,49,#fad831
Bright,b,b10,10,3GY 7.5/10,183,200,43,#b7c82b
Bright,b,b12,12,3G 6.5/9,65,184,121,#41b879
Bright,b,b14,14,5BG 6/8.5,0,170,159,#00aa9f
Bright,b,b16,16,5B 5.5/8.5,0,152,185,#0098b9
Bright,b,b18,18,3PB 5/10,41,129,192,#2981c0
Bright,b,b20,20,9PB 5/10,117,116,188,#7574bc
Bright,b,b22,22,7P 5/10,161,101,168,#a165a8
Bright,b,b24,24,6RP 5.5/10.5,208,103,142,#d0678e
Strong,s,s2,2,4R 4.5/12,197,63,77,#c53f4d
Strong,s,s4,4,10R 5/11.5,204,87,46,#cc572e
Strong,s,s6,6,8YR 6.5/11.5,225,146,21,#e19215
Strong,s,s8,8,5Y 7.5/11,222,188,3,#debc03
Strong,s,s10,10,3GY 6.5/10,156,173,0,#9cad00
Strong,s,s12,12,3G 5/9,0,143,86,#008f56
Strong,s,s14,14,5BG 4.5/8.5,0,130,124,#00827c
Strong,s,s16,16,5B 4/8.5,0,111,146,#006f92
Strong,s,s18,18,3PB 3.5/10,0,91,155,#005b9b
Strong,s,s20,20,9PB 3.5/10,83,76,152,#534c98
Strong,s,s22,22,7P 3.5/10,124,61,132,#7c3d84
Strong,s,s24,24,6RP 4/10.5,163,60,106,#a33c6a
Deep,dp,dp2,2,4R 3.5/11.5,166,29,57,#a61d39
Deep,dp,dp4,4,10R 4/11,171,61,29,#ab3d1d
Deep,dp,dp6,6,8YR 5/11,177,108,0,#b16c00
Deep,dp,dp8,8,5Y 6/10.5,179,147,0,#b39300
Deep,dp,dp10,10,3GY 5/9.5,116,132,0,#748400
Deep,dp,dp12,12,3G 4/8,0,114,67,#007243
Deep,dp,dp14,14,5BG 3.5/8,0,102,100,#006664
Deep,dp,dp16,16,5B 3/8,0,84,118,#005476
Deep,dp,dp18,18,3PB 2.5/9.5,0,66,128,#004280
Deep,dp,dp20,20,9PB 2.5/9.5,62,51,123,#3e337b
Deep,dp,dp22,22,7P 2.5/9.5,97,36,105,#612469
Deep,dp,dp24,24,6RP 3/10,134,29,85,#861d55
LightPlus,lt+,lt2+,2,4R 7/8,241,152,150,#f19896
LightPlus,lt+,lt4+,4,10R 7.5/8,255,167,135,#ffa787
LightPlus,lt+,lt6+,6,8YR 8/8,255,190,113,#ffbe71
LightPlus,lt+,lt8+,8,5Y 8.5/7.5,242,217,110,#f2d96e
LightPlus,lt+,lt10+,10,3GY 8/7,199,211,109,#c7d36d
LightPlus,lt+,lt12+,12,3G 7.5/6,133,206,158,#85ce9e
LightPlus,lt+,lt14+,14,5BG 7/6,98,192,181,#62c0b5
LightPlus,lt+,lt16+,16,5B 6.5/6,91,175,196,#5bafc4
LightPlus,lt+,lt18+,18,3PB 6/7,108,154,197,#6c9ac5
LightPlus,lt+,lt20+,20,9PB 6/7,144,145,195,#9091c3
LightPlus,lt+,lt22+,22,7P 6/7,176,136,181,#b088b5
LightPlus,lt+,lt24+,24,6RP 6.5/7.5,217,142,165,#d98ea5
Light,lt,lt2,2,5R 7.5/6.5,246,171,165,#f6aba5
Light,lt,lt4,4,10R 8/6.5,255,185,158,#ffb99e
Light,lt,lt6,6,7.5YR 8.5/6.5,255,206,144,#ffce90
Light,lt,lt8,8,5Y 9/6,251,230,143,#fbe68f
Light,lt,lt10,10,2.5GY 8.5/5,216,223,146,#d8df92
Light,lt,lt12,12,2.5G 8/5,156,217,172,#9cd9ac
Light,lt,lt14,14,5BG 7.5/5,126,204,193,#7eccc1
Light,lt,lt16,16,5B 7/5,121,186,202,#79baca
Light,lt,lt18,18,2.5PB 6.5/5.5,131,167,200,#83a7c8
Light,lt,lt20,20,10PB 6.5/5.5,162,159,199,#a29fc7
Light,lt,lt22,22,7.5P 6.5/5,184,154,184,#b89ab8
Light,lt,lt24,24,5RP 7/6,218,160,179,#daa0b3
Soft,sf,sf2,2,4R 6/6.5,202,130,129,#ca8281
Soft,sf,sf4,4,10R 6.5/6.5,218,146,122,#da927a
Soft,sf,sf6,6,8YR 7/6.5,219,166,107,#dba66b
Soft,sf,sf8,8,5Y 7.5/6,211,189,108,#d3bd6c
Soft,sf,sf10,10,3GY 7/5.5,173,182,107,#adb66b
Soft,sf,sf12,12,3G 6.5/5,118,177,138,#76b18a
Soft,sf,sf14,14,5BG 6/5,84,163,155,#54a39b
Soft,sf,sf16,16,5B 5.5/5,81,146,164,#5192a4
Soft,sf,sf18,18,3PB 5/5.5,93,126,160,#5d7ea0
Soft,sf,sf20,20,9PB 5/5.5,120,120,160,#7878a0
Soft,sf,sf22,22,7P 5/5.5,144,113,148,#907194
Soft,sf,sf24,24,6RP 5.5/6,180,120,139,#b4788b
Dull,d,d2,2,4R 4.5/6.5,163,90,92,#a35a5c
Dull,d,d4,4,10R 5/6.5,175,105,84,#af6954
Dull,d,d6,6,8YR 5.5/6.5,179,127,70,#b37f46
Dull,d,d8,8,5Y 6/6,171,148,70,#ab9446
Dull,d,d10,10,3GY 5.5/5.5,133,143,70,#858f46
Dull,d,d12,12,3G 5/5,79,135,102,#4f8766
Dull,d,d14,14,5BG 4.5/5,42,123,118,#2a7b76
Dull,d,d16,16,5B 4/5,36,106,125,#246a7d
Dull,d,d18,18,3PB 3.5/5.5,52,89,125,#34597d
Dull,d,d20,20,9PB 3.5/5.5,84,82,124,#54527c
Dull,d,d22,22,7P 3.5/5.5,108,74,113,#6c4a71
Dull,d,d24,24,6RP 4/6,139,79,101,#8b4f65
Dark,dk,dk2,2,4R 2.5/6,105,41,52,#692934
Dark,dk,dk4,4,10R 3/6,117,54,42,#75362a
Dark,dk,dk6,6,8YR 3.5/6,121,77,28,#794d1c
Dark,dk,dk8,8,5Y 4/5.5,116,96,31,#74601f
Dark,dk,dk10,10,3GY 3.5/5,82,91,32,#525b20
Dark,dk,dk12,12,3G 3/4.5,35,82,58,#23523a
Dark,dk,dk14,14,5BG 2.5/4.5,0,71,70,#004746
Dark,dk,dk16,16,5B 2.5/4.5,0,69,88,#004558
Dark,dk,dk18,18,3PB 2/5,18,52,82,#123452
Dark,dk,dk20,20,9PB 2/5,50,45,81,#322d51
